male term,female term,comment
paternal,maternal,
fatherhood,motherhood,
brotherhood,sisterhood,
fraternity,sorority,
fraternities,sororities,
fraternal,sisterly,
fraternally,sisterly,
brotherly,sisterly,
fatherly,motherly,
grandfatherly,grandmotherly,
fathered,mothered,
stepfather,stepmother,
stepfathers,stepmothers,
stepbrother,stepsister,
stepbrothers,stepsisters,
stepson,stepdaughter,
stepsons,stepdaughters,
grandfather,grandmother,
grandfathers,grandmothers,
grandpa,grandma,
grandpas,grandmas,
grandson,granddaughter,
grandsons,granddaughters,
nephew,niece,
nephews,nieces,
brother-in-law,sister-in-law,
brothers-in-law,sisters-in-law,
father-in-law,mother-in-law,
fathers-in-law,mothers-in-law,
son-in-law,daughter-in-law,
sons-in-law,daughters-in-law,
uncle,aunt,
uncles,aunts,
boyfriend,girlfriend,
boyfriends,girlfriends,
ancestor,ancestress,ancestor seems to be a more gender-neutral term
ancestors,ancestresses,ancestors seems to be a more gender-neutral term
bachelor,maiden,"could change meaning of bachelor used in ""bachelor of science"""
bachelors,maidens,"could change meaning of bachelor used in ""bachelors degree"""
testosterone,estrogen,
testosterones,estrogens,
penis,vagina,
penises,vaginas,
prostate,ovarian,
testicles,uteruses,
testicle,uterus,
sperm,ovary,
he,she,
him,her,
his,her,
himself,herself,
he'd,she'd,
he'll,she'll,
gay,lesbian,
gays,lesbians,
homosexuality,lesbianism,
victor,victress,victor seems to be a more gender-neutral term
victors,victresses,victors seems to be a more gender-neutral term
murderer,murderess,murderer seems to be a more gender-neutral term
murderers,murderesses,murderers seems to be a more gender-neutral term
millionaire,millionairess,millionaire seems to be a more gender-neutral term
millionaires,millionairesses,millionaires seems to be a more gender-neutral term
manager,manageress,manager seems to be a more gender-neutral term
managers,manageresses,managers seems to be a more gender-neutral term
governor,governoress,governor seems to be a more gender-neutral term
governors,governoresses,governors seems to be a more gender-neutral term
director,directress,director seems to be a more gender-neutral term
directors,directresses,directors seems to be a more gender-neutral term
inventor,inventress,inventor seems to be a more gender-neutral term
inventors,inventresses,inventors seems to be a more gender-neutral term
instructor,instructress,instructor seems to be a more gender-neutral term
instructors,instructresses,instructors seems to be a more gender-neutral term
childminder,nursemaid,childminder seems to be a more gender-neutral term
childminders,nursemaids,childminders seems to be a more gender-neutral term
barbershop,hairdresser,
beard,hair,
beards,hair,
juryman,juror,
jurymen,jurors,
newsboy,newspaper carrier,
newsboys,newspaper carriers,
paperboy,newspaper carrier,
paperboys,newspaper carriers,
newspaperman,newspaperwoman,
newspapermen,newspaperwomen,
divo,diva,
brideprice,dowry,
airmen,airwomen,
andropause,menopause,
househusbands,housewives,
adultors,adultresses,
andrology,obstetrics,
marquis,marchioness,
stallion,mare,
semen,female_ejaculation,
androgen,estrogen,
godfather,godmother,
cialis,viagra,
beau,belle,
stud,minx,
bull,cow,
beaus,belles,
adultor,adultress,
rooster,hen,
ballet_dancer,ballerina,
colts,fillies,
suitor,suitress,
masseurs,masseuses,
deer,doe,
busboys,busgirls,
studs,minxes,
